"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Cham";"2021";"18";23;137;2
"LK Cham";"2021";"19";18;86;2
"LK Cham";"2021";"20";10;54;3
"LK Cham";"2021";"21";3;10;0
"LK Cham";"2021";"22";0;5;0
"LK Cham";"2021";"23";0;6;2
"LK Cham";"2021";"24";1;4;1
"LK Cham";"2021";"25";0;12;0
"LK Cham";"2021";"26";0;1;0
"LK Cham";"2021";"27";0;2;0
"LK Cham";"2021";"28";0;1;0
"LK Cham";"2021";"29";1;14;0
"LK Cham";"2021";"30";0;8;0
"LK Cham";"2021";"31";3;16;3
"LK Cham";"2021";"32";2;25;1
"LK Cham";"2021";"33";1;8;0
"LK Cham";"2021";"34";4;21;0
"LK Cham";"2021";"35";8;24;0
"LK Cham";"2021";"36";8;64;3
"LK Cham";"2021";"37";22;81;0
"LK Cham";"2021";"38";21;119;4
"LK Cham";"2021";"39";29;150;4
"LK Cham";"2021";"40";28;181;3
"LK Cham";"2021";"41";80;218;2
"LK Cham";"2021";"42";190;177;5
"LK Cham";"2021";"43";255;104;0
"LK Cham";"2021";"44";367;82;1
"LK Cham";"2021";"45";623;143;0
"LK Cham";"2021";"46";1079;34;2
"LK Coburg";"2021";"01";213;1;36
"LK Coburg";"2021";"02";159;0;2
"LK Coburg";"2021";"03";111;7;0
"LK Coburg";"2021";"04";82;5;1
"LK Coburg";"2021";"05";44;11;3
"LK Coburg";"2021";"06";41;17;8
"LK Coburg";"2021";"07";9;20;16
"LK Coburg";"2021";"08";8;13;13
"LK Coburg";"2021";"09";21;10;24
